event_name,league,event_id,team1,team2,starts_at,event_status
BUF Bills @ NE Patriots,NFL,26843988,BUF Bills,NE Patriots,2022-12-02T01:15:00.0000000Z,NOT_STARTED
NY Jets @ MIN Vikings,NFL,26843994,NY Jets,MIN Vikings,2022-12-04T18:00:00.0000000Z,NOT_STARTED
WAS Commanders @ NY Giants,NFL,26843995,WAS Commanders,NY Giants,2022-12-04T18:00:00.0000000Z,NOT_STARTED
TEN Titans @ PHI Eagles,NFL,26843996,TEN Titans,PHI Eagles,2022-12-04T18:00:00.0000000Z,NOT_STARTED
DEN Broncos @ BAL Ravens,NFL,26843990,DEN Broncos,BAL Ravens,2022-12-04T18:00:00.0000000Z,NOT_STARTED
CLE Browns @ HOU Texans,NFL,26843993,CLE Browns,HOU Texans,2022-12-04T18:00:00.0000000Z,NOT_STARTED
JAX Jaguars @ DET Lions,NFL,26843992,JAX Jaguars,DET Lions,2022-12-04T18:00:00.0000000Z,NOT_STARTED
PIT Steelers @ ATL Falcons,NFL,26843989,PIT Steelers,ATL Falcons,2022-12-04T18:00:00.0000000Z,NOT_STARTED
GB Packers @ CHI Bears,NFL,26843991,GB Packers,CHI Bears,2022-12-04T18:00:00.0000000Z,NOT_STARTED
MIA Dolphins @ SF 49ers,NFL,26843998,MIA Dolphins,SF 49ers,2022-12-04T21:05:00.0000000Z,NOT_STARTED
SEA Seahawks @ LA Rams,NFL,26843997,SEA Seahawks,LA Rams,2022-12-04T21:05:00.0000000Z,NOT_STARTED
KC Chiefs @ CIN Bengals,NFL,26844000,KC Chiefs,CIN Bengals,2022-12-04T21:25:00.0000000Z,NOT_STARTED
LA Chargers @ LV Raiders,NFL,26844001,LA Chargers,LV Raiders,2022-12-04T21:25:00.0000000Z,NOT_STARTED
IND Colts @ DAL Cowboys,NFL,26844003,IND Colts,DAL Cowboys,2022-12-05T01:20:00.0000000Z,NOT_STARTED
NO Saints @ TB Buccaneers,NFL,26844004,NO Saints,TB Buccaneers,2022-12-06T01:15:00.0000000Z,NOT_STARTED
LV Raiders @ LA Rams,NFL,26844008,LV Raiders,LA Rams,2022-12-09T01:15:00.0000000Z,NOT_STARTED
NY Jets @ BUF Bills,NFL,26844015,NY Jets,BUF Bills,2022-12-11T18:00:00.0000000Z,NOT_STARTED
HOU Texans @ DAL Cowboys,NFL,26844023,HOU Texans,DAL Cowboys,2022-12-11T18:00:00.0000000Z,NOT_STARTED
BAL Ravens @ PIT Steelers,NFL,26844033,BAL Ravens,PIT Steelers,2022-12-11T18:00:00.0000000Z,NOT_STARTED
PHI Eagles @ NY Giants,NFL,26844032,PHI Eagles,NY Giants,2022-12-11T18:00:00.0000000Z,NOT_STARTED
JAX Jaguars @ TEN Titans,NFL,26844036,JAX Jaguars,TEN Titans,2022-12-11T18:00:00.0000000Z,NOT_STARTED
CLE Browns @ CIN Bengals,NFL,26844021,CLE Browns,CIN Bengals,2022-12-11T18:00:00.0000000Z,NOT_STARTED
MIN Vikings @ DET Lions,NFL,26844029,MIN Vikings,DET Lions,2022-12-11T18:00:00.0000000Z,NOT_STARTED
MIA Dolphins @ LA Chargers,NFL,26844039,MIA Dolphins,LA Chargers,2022-12-11T21:05:00.0000000Z,NOT_STARTED
CAR Panthers @ SEA Seahawks,NFL,26844041,CAR Panthers,SEA Seahawks,2022-12-11T21:25:00.0000000Z,NOT_STARTED
TB Buccaneers @ SF 49ers,NFL,26844042,TB Buccaneers,SF 49ers,2022-12-11T21:25:00.0000000Z,NOT_STARTED
KC Chiefs @ DEN Broncos,NFL,26844043,KC Chiefs,DEN Broncos,2022-12-12T01:20:00.0000000Z,NOT_STARTED
NE Patriots @ ARI Cardinals,NFL,26844046,NE Patriots,ARI Cardinals,2022-12-13T01:15:00.0000000Z,NOT_STARTED
