id,event_id,market_id,market_group,market_name
,26844072,2_64983901,Game,Spread
,26844072,3_64983901,Game,Total
,26844072,1_64983901,Game,Moneyline
,26844072,129088760,Anytime TD Scorer,Anytime Touchdown Scorer
,26844072,129088761,First TD Scorer,First Touchdown Scorer
,26844072,129264941,Pass TDs,Aaron Rodgers Passing Touchdowns
,26844072,129264949,Pass TDs,Baker Mayfield Passing Touchdowns
,26844072,129264938,Pass Yds,Aaron Rodgers Passing Yards
,26844072,129264947,Pass Yds,Baker Mayfield Passing Yards
,26844072,129469763,Rush Yds,Aaron Jones Rushing Yards
,26844072,129485461,Rush Yds,Aaron Rodgers Rushing Yards
,26844072,129510776,Rush Yds,AJ Dillon Rushing Yards
,26844072,129264959,Rush Yds,Baker Mayfield Rushing Yards
,26844072,129264957,Rush Yds,Cam Akers Rushing Yards
,26844072,129468785,Rush Yds,Kyren Williams Rushing Yards
,26844072,129485490,Rec Yds,Aaron Jones Receiving Yards
,26844072,129485507,Rec Yds,AJ Dillon Receiving Yards
,26844072,129273582,Rec Yds,Allen Lazard Receiving Yards
,26844072,129264954,Rec Yds,Ben Skowronek Receiving Yards
,26844072,129468920,Rec Yds,Brandon Powell Receiving Yards
,26844072,129264945,Rec Yds,Christian Watson Receiving Yards
,26844072,129516057,Rec Yds,Kyren Williams Receiving Yards
,26844072,129527489,Rec Yds,Randall Cobb Receiving Yards
,26844072,129264951,Rec Yds,Robert Tonyan Receiving Yards
,26844072,129264962,Rec Yds,Tutu Atwell Receiving Yards
,26844072,129264942,Rec Yds,Tyler Higbee Receiving Yards
,26844072,129264958,Rec Yds,Van Jefferson Receiving Yards
,26844072,129485526,Receptions,Aaron Jones Receptions
,26844072,129485530,Receptions,AJ Dillon Receptions
,26844072,129470331,Receptions,Allen Lazard Receptions
,26844072,129264964,Receptions,Ben Skowronek Receptions
,26844072,129470333,Receptions,Christian Watson Receptions
,26844072,129471405,Receptions,Robert Tonyan Receptions
,26844072,129468891,Receptions,Tutu Atwell Receptions
,26844072,129264943,Receptions,Tyler Higbee Receptions
,26844072,129264952,Receptions,Van Jefferson Receptions
,26844072,129307780,Pass TDs H2H,Aaron Rodgers v Baker Mayfield - Passing Touchdowns Spread
,26844072,129307777,Pass TDs H2H,Aaron Rodgers & Baker Mayfield - Passing Touchdowns Total
,26844072,129307789,Pass TDs H2H,Aaron Rodgers v Baker Mayfield - Passing Touchdowns Moneyline
,26844072,129307853,TDs H2H,Allen Lazard v Van Jefferson - Player Touchdowns Spread
,26844072,129307866,TDs H2H,Allen Lazard & Van Jefferson - Player Touchdowns Total
,26844072,129307834,TDs H2H,Allen Lazard v Van Jefferson - Player Touchdowns Moneyline
,26844072,3_68316639,Team Totals,LA Rams: Team Total Touchdowns
,26844072,3_68316638,Team Totals,GB Packers: Team Total Touchdowns
,26844072,3_68316641,Team Totals,LA Rams: Team Total Points
,26844072,3_68316640,Team Totals,GB Packers: Team Total Points
,26844072,128989405,Team Totals (Bands),GB Packers Total Points Bands
,26844072,128989404,Team Totals (Bands),LA Rams Total Points Bands
,26844072,128918573,Drive Props,1st Drive - Field Goal Made
,26844072,129281615,Drive Props,1st GB Packers Drive Result
,26844072,129281617,Drive Props,1st GB Packers Drive Result Grouped
,26844072,129281616,Drive Props,1st LA Rams Drive Result
,26844072,129281614,Drive Props,1st LA Rams Drive Result Grouped
,26844072,128393408,1st Score,1st Field Goal - on or after 14:00 Elapsed
,26844072,128393406,1st Score,1st Score - on or after 7:00 Elapsed
,26844072,3_68316649,1st Score,1st Score Yards
,26844072,1_68316642,1st Score,1st to Score
,26844072,128882655,1st Score,1st Touchdown - on or after 11:00 Elapsed
,26844072,3_68316648,1st Score,1st Touchdown Yards
,26844072,128918562,1st Score,First Scoring Play Type (6 Way)
,26844072,128918563,1st Score Method,First Score Method 3-Way
,26844072,2_68316189,1st Half,Spread 1st Half
,26844072,3_68316189,1st Half,Total 1st Half
,26844072,1_68316189,1st Half,Moneyline 1st Half
,26844072,2_68316190,1st Quarter,Spread 1st Quarter
,26844072,3_68316190,1st Quarter,Total 1st Quarter
,26844072,1_68316190,1st Quarter,Moneyline 1st Quarter
,26844072,2_68316659,2nd Quarter,Spread 2nd Quarter
,26844072,3_68316659,2nd Quarter,Total 2nd Quarter
,26844072,1_68316659,2nd Quarter,Moneyline 2nd Quarter
,26844072,2_68316660,3rd Quarter,Spread 3rd Quarter
,26844072,3_68316660,3rd Quarter,Total 3rd Quarter
,26844072,1_68316660,3rd Quarter,Moneyline 3rd Quarter
,26844072,2_68316661,4th Quarter,Spread 4th Quarter
,26844072,3_68316661,4th Quarter,Total 4th Quarter
,26844072,1_68316661,4th Quarter,Moneyline 4th Quarter
,26844077,2_64983927,Game,Spread
,26844077,3_64983927,Game,Total
,26844077,1_64983927,Game,Moneyline
,26844077,3_68405784,Team Totals,NY Jets: Team Total Touchdowns
,26844077,3_68405785,Team Totals,JAX Jaguars: Team Total Touchdowns
,26844077,3_68405787,Team Totals,JAX Jaguars: Team Total Points
,26844077,3_68405786,Team Totals,NY Jets: Team Total Points
,26844077,129514189,Team Totals (Bands),JAX Jaguars Total Points Bands
,26844077,129514190,Team Totals (Bands),NY Jets Total Points Bands
,26844077,129514140,Drive Props,1st Drive - Field Goal Made
,26844077,3_68405795,1st Score,1st Score Yards
,26844077,1_68405788,1st Score,1st to Score
,26844077,3_68405794,1st Score,1st Touchdown Yards
,26844077,129514129,1st Score,First Scoring Play Type (6 Way)
,26844077,129514130,1st Score Method,First Score Method 3-Way
,26844077,2_68396775,1st Half,Spread 1st Half
,26844077,3_68396775,1st Half,Total 1st Half
,26844077,1_68396775,1st Half,Moneyline 1st Half
,26844077,2_68396776,1st Quarter,Spread 1st Quarter
,26844077,3_68396776,1st Quarter,Total 1st Quarter
,26844077,1_68396776,1st Quarter,Moneyline 1st Quarter
,26844080,2_64983930,Game,Spread
,26844080,3_64983930,Game,Total
,26844080,1_64983930,Game,Moneyline
,26844080,3_68405852,Team Totals,CHI Bears: Team Total Touchdowns
,26844080,3_68405853,Team Totals,BUF Bills: Team Total Touchdowns
,26844080,3_68405854,Team Totals,CHI Bears: Team Total Points
,26844080,3_68405855,Team Totals,BUF Bills: Team Total Points
,26844080,129514426,Team Totals (Bands),BUF Bills Total Points Bands
,26844080,129514427,Team Totals (Bands),CHI Bears Total Points Bands
,26844080,129514377,Drive Props,1st Drive - Field Goal Made
,26844080,3_68405863,1st Score,1st Score Yards
,26844080,1_68405856,1st Score,1st to Score
,26844080,3_68405862,1st Score,1st Touchdown Yards
,26844080,129514366,1st Score,First Scoring Play Type (6 Way)
,26844080,129514367,1st Score Method,First Score Method 3-Way
,26844080,2_68396828,1st Half,Spread 1st Half
,26844080,3_68396828,1st Half,Total 1st Half
,26844080,1_68396828,1st Half,Moneyline 1st Half
,26844080,2_68396829,1st Quarter,Spread 1st Quarter
,26844080,3_68396829,1st Quarter,Total 1st Quarter
,26844080,1_68396829,1st Quarter,Moneyline 1st Quarter
,26844083,2_64983933,Game,Spread
,26844083,3_64983933,Game,Total
,26844083,1_64983933,Game,Moneyline
,26844083,3_68405897,Team Totals,SEA Seahawks: Team Total Touchdowns
,26844083,3_68405896,Team Totals,KC Chiefs: Team Total Touchdowns
,26844083,3_68405899,Team Totals,SEA Seahawks: Team Total Points
,26844083,3_68405898,Team Totals,KC Chiefs: Team Total Points
,26844083,129514585,Team Totals (Bands),KC Chiefs Total Points Bands
,26844083,129514584,Team Totals (Bands),SEA Seahawks Total Points Bands
,26844083,129514535,Drive Props,1st Drive - Field Goal Made
,26844083,3_68405907,1st Score,1st Score Yards
,26844083,1_68405900,1st Score,1st to Score
,26844083,3_68405906,1st Score,1st Touchdown Yards
,26844083,129514524,1st Score,First Scoring Play Type (6 Way)
,26844083,129514525,1st Score Method,First Score Method 3-Way
,26844083,2_68396836,1st Half,Spread 1st Half
,26844083,3_68396836,1st Half,Total 1st Half
,26844083,1_68396836,1st Half,Moneyline 1st Half
,26844083,2_68396837,1st Quarter,Spread 1st Quarter
,26844083,3_68396837,1st Quarter,Total 1st Quarter
,26844083,1_68396837,1st Quarter,Moneyline 1st Quarter
,26844079,2_64983929,Game,Spread
,26844079,3_64983929,Game,Total
,26844079,1_64983929,Game,Moneyline
,26844079,3_68405830,Team Totals,CAR Panthers: Team Total Touchdowns
,26844079,3_68405831,Team Totals,DET Lions: Team Total Touchdowns
,26844079,3_68405832,Team Totals,CAR Panthers: Team Total Points
,26844079,3_68405833,Team Totals,DET Lions: Team Total Points
,26844079,129514348,Team Totals (Bands),CAR Panthers Total Points Bands
,26844079,129514347,Team Totals (Bands),DET Lions Total Points Bands
,26844079,129514298,Drive Props,1st Drive - Field Goal Made
,26844079,3_68405841,1st Score,1st Score Yards
,26844079,1_68405834,1st Score,1st to Score
,26844079,3_68405840,1st Score,1st Touchdown Yards
,26844079,129514287,1st Score,First Scoring Play Type (6 Way)
,26844079,129514288,1st Score Method,First Score Method 3-Way
,26844079,2_68396826,1st Half,Spread 1st Half
,26844079,3_68396826,1st Half,Total 1st Half
,26844079,1_68396826,1st Half,Moneyline 1st Half
,26844079,2_68396827,1st Quarter,Spread 1st Quarter
,26844079,3_68396827,1st Quarter,Total 1st Quarter
,26844079,1_68396827,1st Quarter,Moneyline 1st Quarter
,26844085,2_64983935,Game,Spread
,26844085,3_64983935,Game,Total
,26844085,1_64983935,Game,Moneyline
,26844085,3_68405918,Team Totals,NE Patriots: Team Total Touchdowns
,26844085,3_68405919,Team Totals,CIN Bengals: Team Total Touchdowns
,26844085,3_68405920,Team Totals,NE Patriots: Team Total Points
,26844085,3_68405921,Team Totals,CIN Bengals: Team Total Points
,26844085,129514663,Team Totals (Bands),CIN Bengals Total Points Bands
,26844085,129514664,Team Totals (Bands),NE Patriots Total Points Bands
,26844085,129514614,Drive Props,1st Drive - Field Goal Made
,26844085,3_68405929,1st Score,1st Score Yards
,26844085,1_68405922,1st Score,1st to Score
,26844085,3_68405928,1st Score,1st Touchdown Yards
,26844085,129514603,1st Score,First Scoring Play Type (6 Way)
,26844085,129514604,1st Score Method,First Score Method 3-Way
,26844085,2_68396830,1st Half,Spread 1st Half
,26844085,3_68396830,1st Half,Total 1st Half
,26844085,1_68396830,1st Half,Moneyline 1st Half
,26844085,2_68396831,1st Quarter,Spread 1st Quarter
,26844085,3_68396831,1st Quarter,Total 1st Quarter
,26844085,1_68396831,1st Quarter,Moneyline 1st Quarter
,26844084,2_64983934,Game,Spread
,26844084,3_64983934,Game,Total
,26844084,1_64983934,Game,Moneyline
,26844084,2_68406992,1st Half,Spread 1st Half
,26844084,3_68406992,1st Half,Total 1st Half
,26844084,1_68406992,1st Half,Moneyline 1st Half
,26844084,2_68406997,1st Quarter,Spread 1st Quarter
,26844084,3_68406997,1st Quarter,Total 1st Quarter
,26844084,1_68406997,1st Quarter,Moneyline 1st Quarter
,26844087,2_64983937,Game,Spread
,26844087,3_64983937,Game,Total
,26844087,1_64983937,Game,Moneyline
,26844087,3_68405941,Team Totals,HOU Texans: Team Total Touchdowns
,26844087,3_68405940,Team Totals,TEN Titans: Team Total Touchdowns
,26844087,3_68405943,Team Totals,HOU Texans: Team Total Points
,26844087,3_68405942,Team Totals,TEN Titans: Team Total Points
