id,market_id,selection_id,selection_name,odds,line
,2_64983901,0HC64983901P750_3,LA Rams,1.90909091,7.5
,2_64983901,0HC64983901N750_1,GB Packers,1.90909091,-7.5
,3_64983901,0OU64983901O3950_1,Over,1.90909091,39.5
,3_64983901,0OU64983901U3950_3,Under,1.90909091,39.5
,1_64983901,0ML64983901_3,LA Rams,3.95,
,1_64983901,0ML64983901_1,GB Packers,1.27777778,
,129088760,0QA129088760#1402760381_13L88808Q12135347711Q20,Aaron Jones,2.2,
,129088760,0QA129088760#1402760405_13L88808Q1-84575987Q20,AJ Dillon,2.2,
,129088760,0QA129088760#1402760394_13L88808Q1-1411527739Q20,Christian Watson,2.4,
,129088760,0QA129088760#1402760402_13L88808Q11178414546Q20,Cam Akers,2.7,
,129088760,0QA129088760#1402760380_13L88808Q1-1996959177Q20,Allen Lazard,3.0,
,129088760,0QA129088760#1402760399_13L88808Q1-992785367Q20,Robert Tonyan,3.75,
,129088760,0QA129088760#1402760403_13L88808Q1-115201972Q20,Van Jefferson,4.3,
,129088760,0QA129088760#1402760396_13L88808Q1-349638135Q20,Romeo Doubs,5.0,
,129088760,0QA129088760#1402760395_13L88808Q1244078380Q20,Tyler Higbee,5.0,
,129088760,0QA129088760#1402760388_13L88808Q1292660006Q20,Ben Skowronek,5.25,
,129088760,0QA129088760#1402760397_13L88808Q1-1276590114Q20,Tutu Atwell,5.5,
,129088760,0QA129088760#1402760401_13L88808Q12008738677Q20,Kyren Williams,5.75,
,129088760,0QA129088760#1402760383_13L88808Q1-701405691Q20,Randall Cobb,6.5,
,129088760,0QA129088760#1402760398_13L88808Q1875009968Q20,GB Packers D/ST,6.5,
,129088760,0QA129088760#1402760382_13L88808Q1-1664922884Q20,Baker Mayfield,9.0,
,129088760,0QA129088760#1402760390_13L88808Q1-192152978Q20,Brandon Powell,9.0,
,129088760,0QA129088760#1402760404_13L88808Q1548989024Q20,Aaron Rodgers,9.0,
,129088760,0QA129088760#1405411619_13L88808Q1-293702402Q20,Patrick Taylor,9.0,
,129088760,0QA129088760#1402760379_13L88808Q1-1758947560Q20,LA Rams D/ST,9.5,
,129088760,0QA129088760#1402760392_13L88808Q1-355456532Q20,Marcedes Lewis,12.0,
,129088760,0QA129088760#1402760389_13L88808Q1209878964Q20,Lance McCutcheon,13.0,
,129088760,0QA129088760#1405411620_13L88808Q1619926591Q20,Malcolm Brown,13.0,
,129088760,0QA129088760#1402760391_13L88808Q11802178458Q20,Samori Toure,15.0,
,129088760,0QA129088760#1402760393_13L88808Q1-1611812877Q20,Josiah Deguara,15.0,
,129088760,0QA129088760#1402760385_13L88808Q1502910223Q20,Brycen Hopkins,18.0,
,129088760,0QA129088760#1402760386_13L88808Q1786486500Q20,Austin Trammell,18.0,
,129088760,0QA129088760#1402760384_13L88808Q1-286965343Q20,Tyler Davis,20.0,
,129088760,0QA129088760#1402760400_13L88808Q11406903477Q20,Ronnie Rivers,21.0,
,129088761,0QA129088761#1402760355_13L88808Q1-99283026Q20,AJ Dillon,6.5,
,129088761,0QA129088761#1402760307_13L88808Q1-946385717Q20,Aaron Jones,7.0,
,129088761,0QA129088761#1402760335_13L88808Q1-2008591396Q20,Christian Watson,7.5,
,129088761,0QA129088761#1402760304_13L88808Q1-936708563Q20,Allen Lazard,10.5,
,129088761,0QA129088761#1402760349_13L88808Q1-1947681444Q20,Cam Akers,11.0,
,129088761,0QA129088761#1402760345_13L88808Q1185578209Q20,Robert Tonyan,13.0,
,129088761,0QA129088761#1402760351_13L88808Q11426033602Q20,Van Jefferson,18.0,
,129088761,0QA129088761#1402760339_13L88808Q11662343781Q20,Romeo Doubs,19.0,
,129088761,0QA129088761#1402760337_13L88808Q12061836435Q20,Tyler Higbee,21.0,
,129088761,0QA129088761#1402760323_13L88808Q11026762846Q20,Ben Skowronek,23.0,
,129088761,0QA129088761#1402760343_13L88808Q11095392029Q20,GB Packers D/ST,23.0,
,129088761,0QA129088761#1402760341_13L88808Q1907634214Q20,Tutu Atwell,23.0,
,129088761,0QA129088761#1402760313_13L88808Q1-305996718Q20,Randall Cobb,23.0,
,129088761,0QA129088761#1402760348_13L88808Q1-76168403Q20,Kyren Williams,26.0,
,129088761,0QA129088761#1402760353_13L88808Q1-1257614230Q20,Aaron Rodgers,31.0,
,129088761,0QA129088761#1405411621_13L88808Q11425660334Q20,Patrick Taylor,31.0,
,129088761,0QA129088761#1402760327_13L88808Q1-1783923441Q20,Brandon Powell,36.0,
,129088761,0QA129088761#1402760310_13L88808Q1-66025477Q20,Baker Mayfield,41.0,
,129088761,0QA129088761#1402760301_13L88808Q1-304775222Q20,LA Rams D/ST,41.0,
,129088761,0QA129088761#1402760331_13L88808Q1-248484700Q20,Marcedes Lewis,46.0,
,129088761,0QA129088761#1402760333_13L88808Q1569311752Q20,Josiah Deguara,56.0,
,129088761,0QA129088761#1405411622_13L88808Q1-1212479105Q20,Malcolm Brown,56.0,
,129088761,0QA129088761#1402760329_13L88808Q184326962Q20,Samori Toure,56.0,
,129088761,0QA129088761#1402760325_13L88808Q12075106875Q20,Lance McCutcheon,56.0,
,129088761,0QA129088761#1402760298_13L88808Q1-1777442974Q20,No Touchdown Scorer,61.0,
,129088761,0QA129088761#1402760315_13L88808Q1930197892Q20,Tyler Davis,71.0,
,129088761,0QA129088761#1402760346_13L88808Q11947773426Q20,Ronnie Rivers,71.0,
,129088761,0QA129088761#1402760319_13L88808Q1-1397279804Q20,Austin Trammell,76.0,
,129088761,0QA129088761#1402760317_13L88808Q1-1227206922Q20,Brycen Hopkins,76.0,
,129264941,0QA129264941#1403958775_13L88808Q1-1173266330Q20,Over,1.83333334,1.5
,129264941,0QA129264941#1403958776_13L88808Q1-505880954Q20,Under,1.86956522,1.5
,129264949,0QA129264949#1403958785_13L88808Q1-824046699Q20,Over,1.43478261,0.5
,129264949,0QA129264949#1403958787_13L88808Q1-1029003462Q20,Under,2.7,0.5
,129264938,0QA129264938#1405614004_13L88808Q1391555445Q20,Over,1.86956522,223.5
,129264938,0QA129264938#1405614005_13L88808Q11897792442Q20,Under,1.86956522,223.5
,129264947,0QA129264947#1404877390_13L88808Q1814135010Q20,Over,1.86956522,189.5
,129264947,0QA129264947#1404877391_13L88808Q1597950940Q20,Under,1.86956522,189.5
,129469763,0QA129469763#1405593737_13L88808Q1-1197996978Q20,Over,1.83333334,58.5
,129469763,0QA129469763#1405593738_13L88808Q1167031029Q20,Under,1.90909091,58.5
,129485461,0QA129485461#1405294321_13L88808Q11299271549Q20,Over,1.90909091,2.5
,129485461,0QA129485461#1405294322_13L88808Q1-1920316915Q20,Under,1.83333334,2.5
,129510776,0QA129510776#1405557025_13L88808Q1-1173937947Q20,Over,1.83333334,45.5
,129510776,0QA129510776#1405557026_13L88808Q1-1677750201Q20,Under,1.90909091,45.5
,129264959,0QA129264959#1405621948_13L88808Q11865622591Q20,Over,1.83333334,7.5
,129264959,0QA129264959#1405621949_13L88808Q1-1833146832Q20,Under,1.90909091,7.5
,129264957,0QA129264957#1404032728_13L88808Q1-595815616Q20,Over,1.86956522,54.5
,129264957,0QA129264957#1404032730_13L88808Q1-2050704166Q20,Under,1.86956522,54.5
,129468785,0QA129468785#1405608135_13L88808Q1-1138196837Q20,Over,1.83333334,18.5
,129468785,0QA129468785#1405608136_13L88808Q11038105098Q20,Under,1.90909091,18.5
,129485490,0QA129485490#1405293476_13L88808Q11630561588Q20,Over,1.90909091,21.5
,129485490,0QA129485490#1405293477_13L88808Q1332440292Q20,Under,1.83333334,21.5
,129485507,0QA129485507#1405662935_13L88808Q11010315031Q20,Over,1.86956522,11.5
,129485507,0QA129485507#1405662936_13L88808Q1583279365Q20,Under,1.86956522,11.5
,129273582,0QA129273582#1405618145_13L88808Q1318350919Q20,Over,1.86956522,43.5
,129273582,0QA129273582#1405618146_13L88808Q1-1411621223Q20,Under,1.86956522,43.5
